Epoch		Train-loss		Test-loss		Train-IoU-1		Train-IoU-2		Val-IoU-1		Val-IoU-2		learningRate
1		5.7249		3.5165		0.0000		0.0000		0.1736		0.2589		0.00100000
2		3.1083		3.5165		0.0000		0.0000		0.0000		0.0000		0.00098198
3		2.7710		3.5165		0.0000		0.0000		0.0000		0.0000		0.00096393
4		2.5800		3.5165		0.0000		0.0000		0.0000		0.0000		0.00094583
5		2.4464		2.6608		0.0000		0.0000		0.2363		0.3977		0.00092770
6		2.3488		inf		0.0000		0.0000		0.0000		0.0000		0.00090953
7		2.2852		inf		0.0000		0.0000		0.0000		0.0000		0.00089132
8		2.2195		inf		0.0000		0.0000		0.0000		0.0000		0.00087307
9		2.1600		inf		0.0000		0.0000		0.0000		0.0000		0.00085477
10		2.1260		2.3335		0.0000		0.0000		0.2635		0.4680		0.00083644
